ANO_CONVO_INT,hhi,n_total,n_territorios
2013,0.233602,8016,9
2014,0.23373,8280,9
2015,0.224676,10050,9
2017,0.218003,13001,9
2019,0.208435,16796,9
2021,0.200627,21094,9
