categoria_inicial,Junior,Asociado,Senior,Emérito,Desaparece
Asociado,0.1552,0.4987,0.2019,0.0036,0.1405
Emérito,0.0,0.0,0.0,0.0,1.0
Junior,0.5013,0.1694,0.0253,0.0004,0.3036
Senior,0.0475,0.0533,0.8366,0.017,0.0457
