categoria_inicial,Junior,Asociado,Senior,Emérito,Desaparece
Asociado,0.1091,0.6296,0.133,0.008,0.1203
Emérito,0.0,0.0,0.0,0.0,1.0
Junior,0.5949,0.1463,0.0213,0.002,0.2355
Senior,0.0103,0.0326,0.8825,0.0274,0.0472
