ANO_CONVO_INT,ID_CONVOCATORIA,n_reconocidos,n_con_produccion,n_sin_produccion,pct_sin_produccion
2013,16.0,8016,6784,1232,15.37
2014,17.0,8280,7586,694,8.38
2015,18.0,10050,9219,831,8.27
2017,19.0,13001,12149,852,6.55
2019,20.0,16796,15872,924,5.5
2021,21.0,21094,19937,1157,5.48
