valor,n,pct
NINGUNA,20240,99.11
VISUAL,68,0.33
FÍSICA,55,0.27
AUDITIVA,42,0.21
PSICOSOCIAL,6,0.03
INTELECTUAL,6,0.03
MÚLTIPLE,4,0.02
