ID_PERSONA_PR,ANO_CONVO_INT,inst_a,inst_b
88722,2019,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION,UNIVERSIDAD TECNOLOGICA DEL CHOCO DIEGO LUIS CORDOBA
89834,2019,FUNDACION UNIVERSIDAD DEL NORTE,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION
90379,2019,ASOCIACION COLOMBIANA DE INFECTOLOGIA,CLINICA COLSANITAS S A
93680,2019,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA,UNIVERSIDAD PRIVADA DR RAFAEL BELLOSO CHACIN
94692,2019,CENTRO DE CONSULTORIA Y SERVICIO,FUNDACION UNIVERSIDAD DEL NORTE
95214,2019,FUNDACION CENTRO INTERNACIONAL DE EDUCACION Y DESARROLLO HUMANO CINDE,UNIVERSIDAD DE MANIZALES UMANIZALES
103128,2019,CORPORACION UNIVERSITARIA IBEROAMERICANA,SECRETARIA DE EDUCACION DEL DISTRITO
105163,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE MEDELLIN
106273,2019,INSTITUCION EDUCATIVA TENICO INDUSTRIAL DIEZ DE MAYO,INSTITUTO TOBIAS EMANUEL
107263,2019,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,CORPORACION PARA INVESTIGACIONES BIOLOGICAS
109924,2019,FUNDACION NATURA COLOMBIA,INSTITUTO COLOMBIANO DEL PETROLEO
112364,2019,UNIVERSIDAD DE CARTAGENA,UNIVERSIDAD DEL VALLE
112828,2019,CENTRO DE EXCELENCIA EN NUEVOS MATERIALES CENM,UNIVERSIDAD DEL VALLE
141194,2019,FUNDACION UNIVERSIDAD DEL NORTE,ORGANIZACION PANAMERICANA DE LA SALUD
141682,2019,CLINICA SAMEIN,UNIVERSIDAD DE ANTIOQUIA
142654,2019,CORPORACION PARA LA INVESTIGACION ETNOMUSICAL SON DE NEGRO,UNIVERSIDAD DEL ATLANTICO
143200,2019,INSTITUTO COLOMBIANO DE MEDICINA TROPICAL INSTITUTO DE CIENCIAS DE LA SALUD CES,INSTITUTO COLOMBIANO DE MEDICINA TROPICAL UNIVERSIDAD CES
145130,2019,UNIVERSIDAD DE LOS ANDES,UNIVERSIDAD NACIONAL DE COLOMBIA
145600,2019,CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO,UNIVERSIDAD COOPERATIVA DE COLOMBIA
145904,2019,ASOCIACION COLOMBIANA PYME,UNIVERSIDAD TECNOLOGICA DE BOLIVAR
146730,2019,ELSAMEX INTERNACIONAL SUCURSAL COLOMBIA,UNIVERSIDAD CATOLICA DE COLOMBIA
147060,2019,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,UNIVERSIDAD TECNOLOGICA DE BOLIVAR
150053,2019,ESCUELA DE NUTRICION Y DIETETICA UNIVERSIDAD DE ANTIOAUIA,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID
150413,2019,CORPORACION UNIVERSITARIA DEL CARIBE CECAR,UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM
151742,2019,UNIVERSIDAD EAFIT,UNIVERSIDAD NACIONAL DE COLOMBIA
153397,2019,UNIVERSIDAD DE ILINOIS,UNIVERSIDAD NACIONAL DE COLOMBIA
154130,2019,UNIVERSIDAD DEL ATLANTICO,UNIVERSIDAD DEL MAGDALENA
154510,2019,ESCRITORIO JURIDICO NORONO SANCHEZ TREJO S C,UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM
155241,2019,ECOPETROL S A,INSTITUTO COLOMBIANO DEL PETROLEO
155870,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD SANTO TOMAS
158739,2019,FONDO DE LAS POBLACIONES UNIDAS,UNIVERSIDAD NACIONAL DE COLOMBIA
158887,2019,UNIVERSIDAD DE MEDELLIN,UNIVERSIDAD EAFIT
161063,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD NACIONAL DE COLOMBIA
163651,2019,PROGRAMA DE ESTUDIO Y CONTROL DE ENFERMEDADES TROPICALES,UNIVERSIDAD DE ANTIOQUIA
166456,2019,INSTITUTO NACIONAL DE CANCEROLOGIA ESE,UNIVERSIDAD DEL VALLE
170062,2019,GRUPO RESERCA INSEGNAMENTO MATEMATICA,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
170550,2019,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA,UNIVERSIDAD DE SUCRE
170593,2019,CONCEJO DE BOGOTA,UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM
171808,2019,DIVISION DE HMANIDADES Y CIENCIAS SOCIALES,FUNDACION UNIVERSIDAD DEL NORTE
171827,2019,UNIVERSIDAD DE LA GUAJIRA,UNIVERSIDAD DE LA GUAJIRA UNIGUAJIRA
172146,2019,CONSORCIO PARA LA INVESTIGACION CIENTIFICA CAUCASECO,FUNDACION CENTRO DE PRIMATES
172570,2019,FUNDACION UNIVERSIDAD DEL NORTE,INSTITUTO DE ESTUDIOS SUPERORES EN EDUCACION
175684,2019,CORPORACION RED DE UNIVERSIDADES PUBLICAS DEL EJE CAFETERO ALMA MATER,UNIVERSIDAD TECNOLOGICA DE PEREIRA
176469,2019,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI CESMAG,UNIVERSIDAD MARIANA UNIMAR
178004,2019,INSTITUTO NACIONAL MATERNO PERINATAL,UNIVERSIDAD DE ANTIOQUIA
179868,2019,FEDERACION ANDINA DE ASOCIACIONES NACIONALES DE EDUCACION SUPERIOR EN CIENC,UNIVERSIDAD NACIONAL DE COLOMBIA
182990,2019,FACULTAD DE INGENIRRIA,PONTIFICIA UNIVERSIDAD JAVERIANA
183067,2019,INSTITUTO NACIONAL DE BIODIVERSIDAD,UNIVERSIDAD DE ANTIOQUIA
191124,2019,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA,UNIVERSIDAD DE CORDOBA
191361,2019,FUNDACION CENTRO INTERNACIONAL DE EDUCACION Y DESARROLLO HUMANO CINDE,FUNDACION INFANCIA Y APRENDIZAJE
191701,2019,CENTRO DE ESTUDIOS AVANZADOS INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENT,SOCIEDAD DE BIOFISICOS LATINOAMERICANOS
193208,2019,MACIAS GOMEZ ABOGADOS,UNIVERSIDAD DE MEDELLIN
193429,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO
195154,2019,CORPORACION UNIVERSIDAD DE LA COSTA,GRUPO DE INVESTIGACION EN PSICOLOGIA
198471,2019,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION,UNIVERSIDAD NACIONAL DE COLOMBIA
200280,2019,ESCUELA SUPERIOR DE GUERRA,UNIVERSIDAD JORGE TADEO LOZANO
207160,2019,UNIVERSIDAD EAN,UNIVERSIDAD SERGIO ARBOLEDA
209139,2019,ARISTIZABAL OCHOA INGENIEROS ASESORES,UNIVERSIDAD NACIONAL DE COLOMBIA
209511,2019,UNIVERSIDAD DE SAN BUENAVENTURA,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA
214914,2019,FUNDACION UNIVERSIDAD DEL NORTE,UNIVERSIDAD DE LOS ANDES
215341,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD DEL VALLE
