categoria_inicial,Junior,Asociado,Senior,Emérito,Desaparece
Asociado,0.2207,0.4992,0.1612,0.0037,0.1152
Emérito,0.0,0.0,0.0,0.0,1.0
Junior,0.5602,0.1286,0.0293,0.0007,0.2811
Senior,0.0356,0.127,0.7796,0.0182,0.0396
